,location,total_sqft,bath,balcony,price,bedrooms
448,Harlur,1752.12,3.0,2.0,135.0,3
450,Raja Rajeshwari Nagar,1295.0,2.0,1.0,55.47,2
451,other,1800.0,3.0,2.0,252.0,3
452,Sarjapur  Road,1346.0,2.0,1.0,74.03,2
454,Hormavu,1150.0,2.0,2.0,55.0,2
455,other,3309.0,4.0,3.0,325.0,4
456,Chandapura,1190.0,2.0,2.0,30.35,3
457,AECS Layout,1620.0,3.0,2.0,98.0,3
459,other,5000.0,9.0,3.0,360.0,11
460,Harlur,2450.0,3.0,0.0,120.0,3
461,Electronic City Phase II,1220.0,2.0,1.0,35.23,3
462,other,850.0,2.0,1.0,30.0,2
465,other,1150.0,2.0,2.0,126.0,2
466,Hebbal,1760.0,2.0,2.0,130.0,3
471,other,900.0,2.0,1.0,40.0,2
473,Whitefield,1130.0,2.0,1.0,42.16,2
474,Koramangala,1320.0,2.0,1.0,165.0,2
476,other,1200.0,2.0,1.0,62.0,2
479,Subramanyapura,929.0,2.0,0.0,50.17,2
488,Hebbal Kempapura,1130.0,2.0,2.0,60.0,2
489,other,1753.0,3.0,2.0,120.0,3
490,Old Madras Road,4500.0,7.0,3.0,337.0,5
492,Hoodi,1196.0,2.0,2.0,94.42,2
493,5th Phase JP Nagar,1150.0,3.0,3.0,52.5,2
494,Electronic City,1128.0,2.0,1.0,63.0,2
495,other,1000.0,2.0,1.0,53.0,2
496,Yelahanka,1035.0,2.0,1.0,45.0,2
498,Bisuvanahalli,1075.0,2.0,1.0,36.0,3
499,Whitefield,1040.0,2.0,1.0,48.5,2
501,Lingadheeranahalli,1511.0,3.0,1.0,95.0,3
503,Hoodi,1545.0,3.0,1.0,68.75,3
507,JP Nagar,1000.0,2.0,1.0,35.0,2
508,Kambipura,883.0,2.0,1.0,45.0,2
509,Sarjapur  Road,1195.0,2.0,1.0,70.0,2
512,Vittasandra,1246.0,2.0,1.0,67.0,2
516,Haralur Road,2805.0,5.0,3.0,154.0,4
521,other,1353.0,2.0,2.0,110.0,2
522,Electronic City,1599.0,3.0,2.0,125.0,3
523,Whitefield,1150.0,2.0,1.0,70.0,2
524,Jakkur,5230.0,6.0,1.0,465.0,4
525,KR Puram,1155.0,2.0,2.0,42.74,2
529,Rajiv Nagar,1867.0,3.0,1.0,160.0,3
530,Ramagondanahalli,1251.0,2.0,1.0,47.0,2
531,other,1028.0,2.0,1.0,45.5,2
532,other,1222.0,2.0,2.0,45.0,2
533,Bannerghatta Road,1170.0,2.0,1.0,66.0,3
534,Hebbal,2400.0,4.0,1.0,245.0,3
536,HSR Layout,1372.0,2.0,1.0,68.0,2
537,Magadi Road,1282.0,2.0,2.0,49.0,3
538,other,5000.0,9.0,3.0,210.0,9
540,Kanakpura Road,1135.0,2.0,1.0,39.73,2
542,other,1325.0,2.0,1.0,90.0,3
543,Electronic City,1599.0,3.0,2.0,99.0,3
549,Hennur Road,1317.5,2.0,0.0,63.77,2
550,Hebbal,3450.0,5.0,2.0,260.0,3
551,Munnekollal,1102.0,2.0,2.0,53.67,2
552,Yelahanka,1350.0,2.0,2.0,54.0,2
557,Kanakpura Road,525.0,1.0,1.0,27.25,1
558,Attibele,656.0,2.0,1.0,25.0,2
560,other,1056.0,2.0,1.0,80.0,2
561,Bannerghatta Road,595.0,1.0,1.0,33.32,1
563,7th Phase JP Nagar,2225.0,3.0,1.0,160.0,3
564,Bommasandra,1126.0,2.0,1.0,28.15,2
565,Electronics City Phase 1,1490.0,3.0,1.0,84.0,3
567,Sarjapur  Road,1550.0,3.0,3.0,100.0,3
570,Whitefield,4144.0,4.0,3.0,315.0,4
571,Sarjapur  Road,2100.0,3.0,2.0,125.0,3
572,Vittasandra,1404.0,2.0,1.0,69.3,2
573,Sarjapur  Road,2230.0,4.0,3.0,225.0,4
575,other,1305.0,2.0,1.0,58.7,3
576,Marathahalli,1230.0,2.0,2.0,80.0,2
582,Hormavu,715.0,1.0,2.0,46.0,1
583,Whitefield,2500.0,3.0,2.0,313.0,3
584,other,1578.0,3.0,1.0,180.0,3
586,Jigani,1020.0,2.0,1.0,40.0,2
587,Koramangala,1253.0,2.0,1.0,102.0,2
588,other,1180.0,2.0,2.0,42.0,2
589,other,961.0,2.0,2.0,38.0,2
591,Harlur,1709.0,3.0,2.0,150.0,3
596,other,1260.0,2.0,2.0,45.0,2
597,other,1630.0,3.0,2.0,85.0,3
598,Sarjapur  Road,1249.0,3.0,2.0,44.71,3
599,Kalena Agrahara,1450.0,2.0,3.0,85.0,3
600,other,2791.0,3.0,1.0,223.0,3
602,other,834.0,1.0,1.0,60.0,1
606,Gottigere,891.0,2.0,1.0,25.0,2
607,Raja Rajeshwari Nagar,1133.0,2.0,1.0,49.07,2
608,Bisuvanahalli,1075.0,2.0,1.0,37.0,3
616,Raja Rajeshwari Nagar,1090.0,2.0,1.0,42.0,2
620,Hebbal,1920.0,3.0,2.0,134.0,3
621,other,1374.0,2.0,2.0,95.0,2
623,Kanakapura,711.0,1.0,1.0,36.0,1
624,Tumkur Road,1500.0,3.0,3.0,95.0,3
625,Whitefield,1720.0,3.0,3.0,100.0,3
628,Mysore Road,1200.0,2.0,1.0,85.0,2
629,other,1375.0,3.0,2.0,70.0,3
631,Jalahalli,2250.0,3.0,2.0,160.0,3
632,Bellandur,1000.0,2.0,2.0,50.0,2
633,other,469.0,1.0,0.0,25.0,1
634,Marathahalli,3800.0,4.0,3.0,250.0,4
635,Kambipura,883.0,2.0,1.0,29.0,2
636,other,1820.0,2.0,3.0,86.0,3
639,Malleshwaram,2500.0,5.0,2.0,325.0,4
643,other,750.0,1.0,2.0,40.0,1
649,Hosakerehalli,2378.0,3.0,1.0,262.0,3
650,Sarjapur,1128.0,2.0,1.0,60.0,2
651,Hebbal,1500.0,3.0,1.0,150.0,3
654,Kanakpura Road,1100.0,2.0,1.0,58.0,3
655,Bommasandra,1200.0,3.0,2.0,46.0,3
657,other,1641.0,3.0,2.0,66.0,3
659,Raja Rajeshwari Nagar,1260.0,2.0,1.0,67.39,2
661,Yelahanka,1132.5,2.0,0.0,48.13,2
662,Yelahanka,1210.0,2.0,1.0,45.98,2
664,Bisuvanahalli,1075.0,2.0,1.0,45.0,3
665,Thanisandra,1702.0,3.0,2.0,130.0,3
666,other,1630.0,2.0,2.0,200.0,2
667,Raja Rajeshwari Nagar,1141.0,2.0,2.0,38.55,2
672,other,4046.0,4.0,0.0,445.0,4
683,other,1875.0,3.0,2.0,165.0,3
685,Brookefield,1200.0,3.0,2.0,140.0,3
686,Whitefield,1140.0,2.0,1.0,56.0,2
687,Lingadheeranahalli,1683.0,3.0,1.0,109.0,3
689,Hoodi,2118.0,4.0,2.0,111.0,4
693,other,2300.0,3.0,3.0,120.0,3
694,other,1240.0,2.0,2.0,60.0,2
695,other,1750.0,3.0,1.0,120.0,3
698,Abbigere,985.0,2.0,1.0,40.39,2
699,other,1500.0,2.0,1.0,87.0,3
701,other,950.0,2.0,1.0,44.0,2
705,Electronic City Phase II,1090.0,2.0,1.0,28.34,2
708,Kammasandra,810.0,2.0,2.0,24.5,2
709,other,1045.0,2.0,0.0,45.0,2
710,Hebbal,1337.0,2.0,1.0,82.0,2
712,Koramangala,1580.0,3.0,2.0,160.0,3
713,Begur Road,1500.0,2.0,3.0,54.0,3
714,Whitefield,1640.0,4.0,2.0,91.0,3
715,other,1570.0,3.0,2.0,62.0,3
716,Gubbalala,1470.0,2.0,2.0,82.0,3
718,7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2
719,other,1855.0,3.0,1.0,225.0,3
720,Bannerghatta Road,1460.0,2.0,1.0,90.0,3
722,Electronic City,1094.0,2.0,2.0,42.0,2
723,Budigere,1153.0,2.0,2.0,57.0,2
724,other,1325.0,3.0,1.0,57.0,3
726,Jakkur,1590.0,2.0,2.0,125.0,3
729,other,1202.0,2.0,1.0,48.0,2
731,other,1200.0,2.0,3.0,62.5,2
732,Panathur,1688.0,3.0,1.0,118.0,3
733,other,1020.0,2.0,1.0,52.0,2
734,Sarjapur,1185.0,2.0,2.0,47.0,2
735,Ramagondanahalli,1235.0,2.0,1.0,52.04,2
736,Hosakerehalli,3205.0,5.0,1.0,500.0,4
738,Kengeri Satellite Town,1415.0,2.0,3.0,66.0,3
739,EPIP Zone,2330.0,3.0,2.0,162.0,3
740,Whitefield,805.0,2.0,2.0,35.0,2
742,Whitefield,1155.0,2.0,3.0,59.95,2
745,other,1100.0,2.0,0.0,48.0,2
748,other,1468.0,2.0,1.0,140.0,2
749,other,4300.0,5.0,2.0,550.0,4
750,Whitefield,2280.0,4.0,2.0,126.0,3
751,Hegde Nagar,1341.0,2.0,1.0,97.0,2
753,Electronic City Phase II,2225.0,4.0,0.0,98.88,4
754,Thanisandra,1185.0,2.0,2.0,43.51,2
755,other,1750.0,3.0,2.0,85.0,3
756,Kudlu,1152.0,2.0,1.0,53.5,2
758,Hulimavu,1300.0,2.0,3.0,36.0,2
761,Uttarahalli,1101.0,2.0,0.0,45.0,2
763,Yeshwanthpur,667.0,1.0,1.0,36.85,1
764,Electronic City,1070.0,2.0,1.0,55.0,2
765,Old Airport Road,1875.0,2.0,2.0,110.0,3
766,Kundalahalli,735.0,2.0,1.0,57.99,2
769,Marathahalli,1215.0,2.0,1.0,67.0,2
771,other,820.0,2.0,1.0,30.0,2
772,other,1177.5,2.0,0.0,59.935,2
773,Battarahalli,1779.0,3.0,2.0,89.61,3
774,other,1105.0,2.0,2.0,58.0,2
776,Whitefield,1650.0,3.0,2.0,60.0,3
777,Jalahalli,1694.0,2.0,2.0,150.0,2
778,Hosakerehalli,2376.0,3.0,1.0,203.0,3
780,Kammasandra,674.0,2.0,1.0,33.0,2
781,Kaggadasapura,1185.0,2.0,1.0,41.0,2
782,Thanisandra,445.0,1.0,0.0,28.0,1
785,Gottigere,1618.0,3.0,3.0,82.5,3
786,Koramangala,1120.0,2.0,0.0,65.0,2
787,Marathahalli,2181.0,3.0,2.0,152.0,4
790,Bannerghatta Road,1556.0,2.0,1.0,59.13,3
791,Bannerghatta Road,1179.0,2.0,1.0,66.02,2
792,Thanisandra,1296.0,2.0,2.0,83.0,2
793,Kaggadasapura,1275.0,2.0,2.0,52.0,2
796,Gottigere,1222.0,2.0,1.0,63.0,2
797,Electronic City,940.0,2.0,1.0,41.0,2
798,Thanisandra,1185.0,2.0,2.0,42.6,2
799,Tumkur Road,1779.0,3.0,2.0,112.0,3
800,Begur Road,1615.0,3.0,2.0,59.76,3
802,Haralur Road,1056.0,2.0,1.0,61.0,2
804,other,920.0,2.0,1.0,40.0,2
805,other,1602.0,2.0,0.0,75.0,3
809,Kasavanhalli,1717.0,3.0,3.0,99.0,3
811,Bhoganhalli,2119.0,4.0,3.0,111.0,4
812,Vittasandra,1246.0,2.0,1.0,67.3,2
813,Anandapura,1141.0,2.0,1.0,42.79,2
815,Chandapura,1025.0,2.0,2.0,27.68,2
816,Yelahanka New Town,650.0,1.0,2.0,33.0,1
817,Hebbal,1349.0,2.0,1.0,98.0,2
818,other,1566.0,3.0,1.0,83.3,3
819,Sahakara Nagar,2830.0,3.0,3.0,195.0,4
822,Varthur,1091.0,2.0,1.0,34.9,2
823,Rachenahalli,3670.0,4.0,3.0,300.0,4
825,Yeshwanthpur,1950.0,4.0,0.0,130.0,4
827,Yelahanka,1705.0,3.0,2.0,95.0,3
828,Kalyan nagar,1375.0,3.0,2.0,75.0,3
829,Kanakpura Road,525.0,1.0,1.0,30.0,1
831,Thanisandra,1114.0,2.0,1.0,39.0,2
832,7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3
835,Hebbal,1000.0,2.0,2.0,45.0,2
836,Electronic City,1128.0,2.0,1.0,68.75,2
837,Kanakpura Road,1180.0,2.0,2.0,57.0,2
841,Kanakpura Road,1339.0,2.0,3.0,75.0,2
843,7th Phase JP Nagar,1040.0,2.0,1.0,39.52,2
846,Sarjapur  Road,1691.0,3.0,2.0,113.0,3
847,Bisuvanahalli,1075.0,3.0,2.0,36.0,3
850,Bannerghatta Road,1122.5,2.0,0.0,58.935,2
851,other,1665.0,3.0,2.0,86.58,3
853,Brookefield,1142.0,2.0,2.0,70.0,2
854,other,1976.0,3.0,1.0,184.0,3
862,Electronics City Phase 1,1175.0,2.0,2.0,51.47,2
863,Subramanyapura,1200.0,2.0,2.0,52.0,2
864,Kodichikkanahalli,995.0,2.0,1.0,41.0,2
865,Magadi Road,884.0,2.0,1.0,41.1,2
867,Yeshwanthpur,1170.0,2.0,2.0,57.0,2
868,KR Puram,1225.0,2.0,1.0,46.55,2
869,Electronic City,1342.0,2.0,1.0,73.3,2
871,other,1320.0,3.0,0.0,65.0,3
